run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
4194,8571664,25070084,10736163,22907631
4195,8571592,25070050,10744399,22898714
4196,8571355,25070071,10750322,22893442
4197,8571669,25069990,10782211,22861422
4198,8571650,25070164,10738483,22904923
4199,8571599,25069949,10732975,22910241
4200,8571532,25069993,10750205,22893585
4201,8572071,25069954,10729796,22914046
4202,8571470,25070140,10782698,22861089
4203,8571871,25069919,10749069,22894613
4204,8571465,25069962,10739626,22903666
4205,8571567,25069915,10707146,22936409
4206,8571816,25069960,10719797,22923689
4207,8571807,25070054,10784396,22858793
4208,8571533,25070066,10761346,22882319
4209,8578492,25063283,10761520,22881883
4210,8571598,25069914,10782064,22861330
4211,8571601,25070091,10744732,22898657
4212,8571529,25070120,10803504,22839700
4213,8571552,25070015,10760216,22883573
4214,8571391,25070201,10765606,22877619
4215,8571545,25070028,10763168,22880350
4216,8571652,25070141,10737490,22905728
4217,8571391,25070166,10804202,22838896
4218,8571558,25070012,10745847,22898314
4219,8571391,25070128,10796244,22847146
4220,8571384,25069967,10747035,22896052
4221,8571913,25070118,10754639,22888433
4222,8571175,25070130,10826961,22816551
4223,8571606,25070120,10744452,22898802
4224,8571236,25069927,10739383,22903703
4225,8571716,25070111,10747478,22895879
4226,8571453,25070034,10747571,22896059
4227,8571656,25069996,10789881,22853283
4228,8571701,25070059,10767337,22876243
4229,8571575,25070060,10729485,22914513
4230,8571502,25070131,10721830,22922028
4231,8571232,25070087,10740414,22902983
4232,8571822,25069963,10816039,22827516
4233,8571768,25070113,10748288,22895420
4234,8571626,25070085,10732270,22910998
4235,8571674,25069942,10744670,22898825
4236,8571457,25070053,10782459,22860514
4237,8571482,25070055,10781590,22861264
4238,8571498,25070045,10746042,22897368
4239,8571483,25070024,10730523,22913018
4240,8571477,25069943,10741070,22902613
4241,8571483,25070021,10785465,22858608
4242,8571849,25069928,10775548,22867331
4243,8575786,25065949,10734800,22909024
4244,8571856,25069938,10786817,22856447
4245,8571507,25070051,10741505,22901728
4246,8571416,25069936,10783568,22859305
4247,8571491,25070061,10733777,22909762
4248,8571776,25070049,10760697,22882193
4249,8571778,25069953,10729299,22914423
